Frequency_THz,R_air,R_water
1.473236618309154551e+02,8.941410704341750115e-01,8.941268062894446311e-01
1.473636818409204636e+02,8.941090544212204616e-01,8.940943388951272386e-01
1.474037018509254722e+02,8.940770384080292121e-01,8.940618578899417468e-01
1.474437218609304523e+02,8.940450223945899388e-01,8.940293628856829100e-01
1.474837418709354608e+02,8.940130063808913174e-01,8.939968534837796632e-01
1.475237618809404694e+02,8.939809903669211355e-01,8.939643292750385495e-01
1.475637818909454779e+02,8.939489743526667365e-01,8.939317898393834838e-01
1.476038019009504865e+02,8.939169583381150197e-01,8.938992347455888554e-01
1.476438219109554666e+02,8.938849423232521074e-01,8.938666635510064129e-01
1.476838419209604751e+02,8.938529263080635667e-01,8.938340758012875975e-01
1.477238619309654837e+02,8.938209102925342986e-01,8.938014710300982157e-01
1.477638819409704922e+02,8.937888942766487599e-01,8.937688487588276720e-01
1.478039019509755008e+02,8.937568782603902973e-01,8.937362084962916509e-01
1.478439219609804809e+02,8.937248622437418133e-01,8.937035497384290261e-01
1.478839419709854894e+02,8.936928462266853224e-01,8.936708719679905544e-01
1.479239619809904980e+02,8.936608302092018397e-01,8.936381746542227944e-01
1.479639819909955065e+02,8.936288141912720473e-01,8.936054572525444772e-01
1.480040020010005151e+02,8.935967981728752951e-01,8.935727192042149936e-01
1.480440220110054952e+02,8.935647821539903779e-01,8.935399599359975520e-01
1.480840420210105037e+02,8.935327661345945360e-01,8.935071788598136777e-01
1.481240620310155123e+02,8.935007501146647879e-01,8.934743753723916049e-01
1.481640820410205208e+02,8.934687340941765976e-01,8.934415488549056761e-01
1.482041020510255009e+02,8.934367180731044300e-01,8.934086986726098578e-01
1.482441220610305095e+02,8.934047020514218618e-01,8.933758241744631512e-01
1.482841420710355180e+02,8.933726860291008043e-01,8.933429246927453438e-01
1.483241620810405266e+02,8.933406700061125028e-01,8.933099995426679873e-01
1.483641820910455351e+02,8.933086539824264261e-01,8.932770480219739406e-01
1.484042021010505152e+02,8.932766379580111549e-01,8.932440694105314716e-01
1.484442221110555238e+02,8.932446219328336046e-01,8.932110629699177018e-01
1.484842421210605323e+02,8.932126059068591362e-01,8.931780279429949454e-01
1.485242621310655409e+02,8.931805898800520005e-01,8.931449635534784992e-01
1.485642821410705210e+02,8.931485738523742279e-01,8.931118690054933307e-01
1.486043021510755295e+02,8.931165578237869607e-01,8.930787434831252147e-01
1.486443221610805381e+02,8.930845417942490094e-01,8.930455861499598802e-01
1.486843421710855466e+02,8.930525257637177416e-01,8.930123961486143846e-01
1.487243621810905552e+02,8.930205097321486374e-01,8.929791726002581642e-01
1.487643821910955353e+02,8.929884936994947342e-01,8.929459146041249795e-01
1.488044022011005438e+02,8.929564776657078484e-01,8.929126212370158688e-01
1.488444222111055524e+02,8.929244616307371318e-01,8.928792915527896668e-01
1.488844422211105609e+02,8.928924455945296268e-01,8.928459245818467505e-01
1.489244622311155695e+02,8.928604295570301552e-01,8.928125193305995744e-01
1.489644822411205496e+02,8.928284135181812076e-01,8.927790747809353222e-01
1.490045022511255581e+02,8.927963974779226097e-01,8.927455898896653474e-01
1.490445222611305667e+02,8.927643814361916341e-01,8.927120635879662869e-01
1.490845422711355752e+02,8.927323653929228886e-01,8.926784947808092952e-01
1.491245622811405838e+02,8.927003493480482055e-01,8.926448823463771776e-01
1.491645822911455639e+02,8.926683333014964195e-01,8.926112251354725302e-01
1.492046023011505724e+02,8.926363172531931456e-01,8.925775219709120023e-01
1.492446223111555810e+02,8.926043012030612234e-01,8.925437716469107885e-01
1.492846423211605895e+02,8.925722851510199396e-01,8.925099729284544647e-01
1.493246623311655696e+02,8.925402690969846953e-01,8.924761245506588336e-01
1.493646823411705782e+02,8.925082530408682269e-01,8.924422252181182236e-01
1.494047023511755867e+02,8.924762369825786079e-01,8.924082736042407982e-01
1.494447223611805953e+02,8.924442209220205813e-01,8.923742683505718754e-01
1.494847423711856038e+02,8.924122048590944489e-01,8.923402080661038127e-01
1.495247623811905839e+02,8.923801887936967381e-01,8.923060913265742355e-01
1.495647823911955925e+02,8.923481727257190910e-01,8.922719166737497209e-01
1.496048024012006010e+02,8.923161566550487089e-01,8.922376826146977136e-01
1.496448224112056096e+02,8.922841405815682414e-01,8.922033876210437864e-01
1.496848424212106181e+02,8.922521245051550087e-01,8.921690301282158009e-01
1.497248624312155982e+02,8.922201084256814463e-01,8.921346085346745225e-01
1.497648824412206068e+02,8.921880923430143273e-01,8.921001212011292480e-01
1.498049024512256153e+02,8.921560762570150960e-01,8.920655664497407766e-01
1.498449224612306239e+02,8.921240601675392012e-01,8.920309425633079492e-01
1.498849424712356040e+02,8.920920440744359858e-01,8.919962477844414206e-01
1.499249624812406125e+02,8.920600279775485753e-01,8.919614803147218884e-01
1.499649824912456211e+02,8.920280118767132116e-01,8.919266383138425569e-01
1.500050025012506296e+02,8.919959957717599197e-01,8.918917198987381667e-01
1.500450225112556382e+02,8.919639796625109529e-01,8.918567231426964836e-01
1.500850425212606183e+02,8.919319635487814590e-01,8.918216460744564644e-01
1.501250625312656268e+02,8.918999474303789254e-01,8.917864866772881038e-01
1.501650825412706354e+02,8.918679313071025128e-01,8.917512428880584041e-01
1.502051025512756439e+02,8.918359151787433881e-01,8.917159125962803579e-01
1.502451225612806525e+02,8.918038990450838366e-01,8.916804936431447226e-01
1.502851425712856326e+02,8.917718829058972618e-01,8.916449838205365852e-01
1.503251625812906411e+02,8.917398667609472973e-01,8.916093808700337187e-01
1.503651825912956497e+02,8.917078506099884727e-01,8.915736824818892847e-01
1.504052026013006582e+02,8.916758344527645486e-01,8.915378862939953297e-01
1.504452226113056668e+02,8.916438182890088493e-01,8.915019898908310703e-01
1.504852426213106469e+02,8.916118021184441522e-01,8.914659908023923052e-01
1.505252626313156554e+02,8.915797859407811332e-01,8.914298865031021757e-01
1.505652826413206640e+02,8.915477697557191439e-01,8.913936744107057164e-01
1.506053026513256725e+02,8.915157535629449903e-01,8.913573518851443112e-01
1.506453226613306526e+02,8.914837373621326000e-01,8.913209162274132735e-01
1.506853426713356612e+02,8.914517211529426888e-01,8.912843646783986662e-01
1.507253626813406697e+02,8.914197049350218727e-01,8.912476944176972449e-01
